TP_SUBSTANCIA,NU_LMR,DS_INGREDIENTE_ATIVO,ST_AUTORIZADO,NO_CULTURA,NO_UNIDADE_MEDIDA,DT_INICIO_VIGENCIA
quimico,6.0,mandipropamida,sim,couve-de-bruxelas,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,2.0,mandipropamida,sim,lichia,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,2.0,mandipropamida,sim,macadâmia,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,2.0,mandipropamida,sim,romã,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,3.0,mandipropamida,sim,rúcula,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,3.0,mandipropamida,sim,caju,miligrama/kilograma  ,08/17/2022 00:00:00
quimico,0.01,mandipropamida,sim,beterraba,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,0.4,mandipropamida,sim,tomate,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,6.0,mandipropamida,sim,mostarda,miligrama/kilograma  ,03/28/2025 00:00:00
quimico,2.0,mandipropamida,sim,cacau,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,3.0,mandipropamida,sim,almeirão,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,0.07,indoxacarbe,sim,manga,miligrama/kilograma  ,09/09/2014 00:00:00
quimico,0.04,indoxacarbe,sim,acelga,miligrama/kilograma  ,03/14/2016 00:00:00
quimico,0.3,indoxacarbe,sim,ameixa,miligrama/kilograma  ,08/08/2016 00:00:00
quimico,1.0,mancozebe,sim,mandioca,miligrama/kilograma  ,05/20/2024 00:00:00
quimico,3.0,mancozebe,sim,lúpulo,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,3.0,mancozebe,sim,noz-pecã,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,1.0,mancozebe,sim,banana,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,6.5,mancozebe,sim,agrião,miligrama/kilograma  ,05/04/2022 00:00:00
quimico,6.5,mancozebe,sim,rúcula,miligrama/kilograma  ,05/04/2022 00:00:00
quimico,1.5,mancozebe,sim,triticale,miligrama/kilograma  ,11/30/2020 00:00:00
quimico,1.5,mancozebe,sim,aveia,miligrama/kilograma  ,11/30/2020 00:00:00
quimico,3.0,mancozebe,sim,caqui,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,3.0,mancozebe,sim,mangaba,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,3.0,mancozebe,sim,maracujá,miligrama/kilograma  ,03/08/2023 00:00:00
quimico,1.0,mancozebe,sim,couve-de-bruxelas,miligrama/kilograma  ,12/23/2024 00:00:00
quimico,0.6,mancozebe,sim,gergelim,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,0.3,mancozebe,sim,ervilha,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,2.0,mancozebe,sim,pêssego,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,1.0,mancozebe,sim,aveia,miligrama/kilograma  ,12/30/2019 00:00:00
quimico,6.5,mancozebe,sim,alface,miligrama/kilograma  ,05/04/2022 00:00:00
quimico,6.5,mancozebe,sim,espinafre,miligrama/kilograma  ,05/04/2022 00:00:00
quimico,3.0,mancozebe,sim,banana,miligrama/kilograma  ,08/17/2022 00:00:00
quimico,0.6,mancozebe,sim,feijão-vagem,miligrama/kilograma  ,08/17/2022 00:00:00
quimico,1.5,mancozebe,sim,trigo,miligrama/kilograma  ,11/30/2020 00:00:00
quimico,1.5,mancozebe,sim,cevada,miligrama/kilograma  ,11/30/2020 00:00:00
quimico,0.6,mancozebe,sim,feijão,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,0.0,iminoctadina tris(albesilato),não,pêssego,miligrama/kilograma  ,07/22/2019 00:00:00
quimico,1.0,metiram,sim,batata,miligrama/kilograma  ,11/14/2011 00:00:00
quimico,0.01,indaziflam,sim,cacau,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,0.06,isocicloseram,sim,pepino,miligrama/kilograma  ,09/29/2023 00:00:00
quimico,0.4,isocicloseram,sim,batata yacon,miligrama/kilograma  ,03/01/2024 00:00:00
quimico,0.4,isocicloseram,sim,inhame,miligrama/kilograma  ,03/01/2024 00:00:00
quimico,0.15,e -11-hexadecenol,sim,pimenta,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,0.3,isocicloseram,sim,aveia,miligrama/kilograma  ,09/29/2023 00:00:00
quimico,1.0,metam-sódico,sim,batata,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.15,fluasifope-p-butílico,sim,cana-de-açúcar (açúcar),miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.3,espirodiclofeno,sim,azeitona,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,0.3,espirodiclofeno,sim,macadâmia,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,0.5,espirodiclofeno,sim,dendê,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,0.3,espirodiclofeno,sim,maracujá,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,0.3,espirodiclofeno,sim,noz-pecã,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,0.05,espirodiclofeno,sim,coco,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.5,espirodiclofeno,sim,maçã,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.3,espirodiclofeno,sim,cupuaçu,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,0.3,espirodiclofeno,sim,manga,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,0.5,espirodiclofeno,sim,coco,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,0.3,espirodiclofeno,sim,mamão,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.3,espirodiclofeno,sim,cacau,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,0.5,espirodiclofeno,sim,algodão,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,0.3,espirodiclofeno,sim,pitaya,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,0.03,espirodiclofeno,sim,tomate,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.3,espirodiclofeno,sim,abacate,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,1.0,metiram,sim,cebola,miligrama/kilograma  ,09/22/2004 00:00:00
quimico,3.0,metiram,sim,pimentão,miligrama/kilograma  ,09/22/2004 00:00:00
quimico,0.3,metiram,sim,soja,miligrama/kilograma  ,05/28/2019 00:00:00
quimico,1.5,metiram,sim,cebola,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,1.5,metiram,sim,chalota,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,1.0,metiram,sim,rabanete,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,1.0,metiram,sim,couve-de-bruxelas,miligrama/kilograma  ,12/23/2024 00:00:00
quimico,0.3,metaflumizone,sim,brócolis,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.3,metaflumizone,sim,repolho,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,2.0,metaflumizone,sim,uva,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.7,metaflumizone,sim,algodão,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,3.0,metaflumizone,sim,uva,miligrama/kilograma  ,06/05/2017 00:00:00
quimico,2.0,metaflumizone,sim,citros,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.3,metaflumizone,sim,couve-chinesa,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.3,metaflumizone,sim,couve-flor,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.7,metaflumizone,sim,melão,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.01,metaflumizone,sim,cana-de-açúcar,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.5,metaflumizone,sim,maçã,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.1,metaflumizone,sim,café,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.7,metaflumizone,sim,maçã,miligrama/kilograma  ,06/05/2017 00:00:00
quimico,0.1,metaflumizone,sim,soja,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,7.0,metaflumizone,sim,chicória,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.3,metaflumizone,sim,couve,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.3,metaflumizone,sim,couve-de-bruxelas,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,7.0,metaflumizone,sim,rúcula,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,7.0,metaflumizone,sim,agrião,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,7.0,metaflumizone,sim,mostarda,miligrama/kilograma  ,12/12/2016 00:00:00
quimico,0.05,glufosinato,sim,mangaba,miligrama/kilograma  ,11/03/2022 00:00:00
quimico,0.3,fludioxonil,sim,citros,miligrama/kilograma  ,08/26/2019 00:00:00
quimico,0.3,fenpropimorfe,sim,aveia,miligrama/kilograma  ,03/21/2023 00:00:00
quimico,0.15,fenpropimorfe,sim,algodão,miligrama/kilograma  ,03/21/2023 00:00:00
quimico,0.0,fluvalinato,não,algodão,miligrama/kilograma  ,05/04/2022 00:00:00
