NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;DT_ATUALIZACAO
"MALATIONA";"Quimico";3.0000000000;"M01";"MALATIONA";"121755";"SIM";"Couve";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"MALATIONA";"Quimico";0.5000000000;"M01";"MALATIONA";"121755";"SIM";"Couve-Flor";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"MANDIPROPAMIDA";"Quimico";0.5000000000;"M45";"MANDIPROPAMIDA";"374726622";"SIM";"Alho";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO RE Nº 1.432, DE 8 DE ABRIL DE 2021";"04/13/2021 00:00:00";;"09/24/2025 00:00:00"
"Mancozebe";"Quimico";1.5000000000;"M02";"Mancozebe";"8018017";"SIM";"Cebola";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN N° 282, DE 06 DE MARÇO DE 2024";"03/08/2024 00:00:00";;"09/24/2025 00:00:00"
"INDOXACARBE";"Quimico";0.0700000000;"I21";"INDOXACARBE";"173584446";"SIM";"Girassol";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO -RE Nº 22, DE 4 DE JANEIRO DE 2018";"01/08/2018 00:00:00";;"09/24/2025 00:00:00"
"Iminoctadina tris(albesilato)";"Quimico";0.1000000000;"I25.1";"Iminoctadina tris(albesilato)";"99257439";"NÃO";"Batata";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";"07/21/2019 00:00:00";"09/24/2025 00:00:00"
"GLUFOSINATO";"Quimico";0.0500000000;"G05";"GLUFOSINATO";"51276472";"SIM";"Mostarda";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA-IN 191, DE 31 DE OUTUBRO DE 2022";"11/03/2022 00:00:00";;"09/24/2025 00:00:00"
"METOMINOSTROBINA";"Quimico";0.0700000000;"M49";"METOMINOSTROBINA";"133408501";"SIM";"Arroz";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 1.398, DE 24 DE MAIO DE 2019";"05/28/2019 00:00:00";;"09/24/2025 00:00:00"
"GLUFOSINATO";"Quimico";0.2000000000;"G05";"GLUFOSINATO";"51276472";"SIM";"Noz-pecã";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN N° 214, DE 01 DE MARÇO DE 2023";"03/08/2023 00:00:00";;"09/24/2025 00:00:00"
"HALOXIFOPE-P-METÍLICO";"Quimico";0.0500000000;"H07.1";"HALOXIFOPE-P-METÍLICO";"72619320";"SIM";"Cana-de-açúcar";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 32, DE 4 DE JANEIRO DE 2018";"01/08/2018 00:00:00";;"09/24/2025 00:00:00"
"MEFENTRIFLUCONAZOL";"Quimico";5.0000000000;"M52";"MEFENTRIFLUCONAZOL";"1417782036";"SIM";"Arroz";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN N° 288, DE 20 DE MARÇO DE 2024";"03/21/2024 00:00:00";;"09/24/2025 00:00:00"
"MEVINFÓS";"Quimico";0.0000000000;"M20";"MEVINFÓS";"7786347";"NÃO";"Alface";"Limite de tolerância";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 1.967, DE 18 DE JULHO DE 2019";"07/22/2019 00:00:00";;"09/24/2025 00:00:00"
"METSULFUROM METÍLICO";"Quimico";0.0500000000;"M26";"METSULFUROM METÍLICO";"74223646";"SIM";"Centeio";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE N° 1.745, DE 30 DE JUNHO DE 2016";"07/04/2016 00:00:00";;"09/24/2025 00:00:00"
